period,gross_add_true,gross_add_tot
2016-02-28,10293,13749
2016-03-06,8662,10563
2016-03-13,8450,10215
2016-03-20,7356,9124
2016-03-27,8320,11392
2016-04-03,9142,11462
2016-04-10,7858,9779
2016-04-17,7661,9400
2016-04-24,8452,10996
2016-05-01,10605,13849
2016-05-08,8917,10670
2016-05-15,9270,11273
2016-05-22,9462,11755
2016-05-29,10225,13688
2016-06-05,9883,12096
2016-06-12,8434,10414
2016-06-19,7870,9933
2016-06-26,9381,13087
2016-07-03,9152,12085
2016-07-10,9144,11436
2016-07-17,8430,10533
2016-07-24,8114,10762
2016-07-31,10729,14595
2016-08-07,9402,11828
2016-08-14,8839,11138
2016-08-21,8795,11270
2016-08-28,10673,14853
2016-09-04,9169,11741
2016-09-11,9725,12131
2016-09-18,9293,11362
2016-09-25,9211,12386
2016-10-02,10109,13346
2016-10-09,8214,10226
2016-10-16,7596,9420
2016-10-23,7517,9686
2016-10-30,9380,12850
2016-11-06,8477,10556
2016-11-13,7792,9781
2016-11-20,6037,7665
2016-11-27,9006,12145
2016-12-04,8934,11297
2016-12-11,7693,9581
2016-12-18,8122,9984
2016-12-25,6710,8550
2017-01-01,8116,10236
2017-01-08,8894,10572
2017-01-15,8462,10150
2017-01-22,8316,10061
2017-01-29,11089,14260
2017-02-05,8119,9683
2017-02-12,9600,11376
2017-02-19,8844,10742
2017-02-26,11070,14361
2017-03-05,10128,12499
2017-03-12,7399,9062
2017-03-19,8317,10098
2017-03-26,8695,11402
2017-04-02,9400,12263
2017-04-09,7942,9908
2017-04-16,6929,8498
2017-04-23,7752,10084
2017-04-30,9366,12669
2017-05-07,8217,10164
2017-05-14,8299,10106
2017-05-21,9925,11983
2017-05-28,9831,12954
2017-06-04,11001,13626
2017-06-11,9650,11658
2017-06-18,9013,10970
2017-06-25,10498,13682
2017-07-02,9038,11995
2017-07-09,10642,13184
2017-07-16,10363,12669
2017-07-23,10346,12901
2017-07-30,10656,14227
2017-08-06,10751,13326
2017-08-13,10221,12594
2017-08-20,10097,12393
2017-08-27,10735,14047
2017-09-03,10388,13556
2017-09-10,10972,13559
2017-09-17,10183,12417
2017-09-24,9843,12600
2017-10-01,10541,13946
2017-10-08,9520,11714
2017-10-15,9412,11379
2017-10-22,9688,11691
2017-10-29,10214,13311
2017-11-05,11208,13724
2017-11-12,10602,12921
2017-11-19,7790,9473
2017-11-26,10448,13371
2017-12-03,10800,13468
2017-12-10,9000,10880
2017-12-17,8918,10857
2017-12-24,7260,9023
2017-12-31,6222,7945
2018-01-07,9417,11299
2018-01-14,8351,10033
2018-01-21,8319,10004
2018-01-28,9113,11896
2018-02-04,8703,10733
2018-02-11,7530,9191
2018-02-18,7288,8930
2018-02-25,9202,12119
2018-03-04,8410,10605
2018-03-11,8357,10250
2018-03-18,8765,10564
2018-03-25,9071,11576
2018-04-01,9127,11979
2018-04-08,8184,10056
2018-04-15,8034,9873
2018-04-22,8116,10056
2018-04-29,8894,12092
2018-05-06,8560,10621
2018-05-13,8479,10422
2018-05-20,8732,10637
2018-05-27,7991,10613
2018-06-03,9454,12039
2018-06-10,9527,11636
2018-06-17,8901,10960
2018-06-24,9818,12723
2018-07-01,8907,12120
2018-07-08,8911,11298
2018-07-15,8982,11130
2018-07-22,8751,10884
2018-07-29,10294,13907
2018-08-05,10645,13267
2018-08-12,10082,12327
2018-08-19,10736,12898
2018-08-26,11068,14054
2018-09-02,11443,14701
2018-09-09,12091,14439
2018-09-16,11476,13675
2018-09-23,10730,13122
2018-09-30,11482,14771
2018-10-07,10399,12443
2018-10-14,9606,11557
2018-10-21,9086,10981
2018-10-28,9920,13165
