period,mmm_b2c_acq_dma,gross_add_tot,gross_add_true
2017-01-01,ABILENE-SWEETWATER TX,164,127
2017-01-01,ALEXANDRIA LA,133,113
2017-01-01,AMARILLO TX,311,244
2017-01-01,AUSTIN TX,133,116
2017-01-01,All Other Suddenlink DMA Total,3576,2776
2017-01-01,BLUEFIELD-BECKLEY-OAK HILL WV,122,101
2017-01-01,CHARLESTON-HUNTINGTON WV,323,264
2017-01-01,DALLAS-FT WORTH TX,216,189
2017-01-01,EUREKA CA,85,67
2017-01-01,GREENVILLE-NEW BERN-WASH NC,243,198
2017-01-01,HOUSTON TX,300,256
2017-01-01,JONESBORO AR,108,79
2017-01-01,LAKE CHARLES LA,191,151
2017-01-01,LITTLE ROCK AR,164,143
2017-01-01,LUBBOCK TX,256,217
2017-01-01,MONROE-EL DORADO LA-AR,71,58
2017-01-01,ODESSA-MIDLAND TX,156,133
2017-01-01,OKLAHOMA CITY OK,165,137
2017-01-01,PARKERSBURG WV,116,99
2017-01-01,PHOENIX AZ,303,254
2017-01-01,RALEIGH-DURHAM NC,58,49
2017-01-01,SAN ANGELO TX,164,124
2017-01-01,SHREVEPORT LA,184,154
2017-01-01,SPRINGFIELD MO,130,114
2017-01-01,ST JOSEPH MO,66,47
2017-01-01,TULSA OK,52,41
2017-01-01,TYLER-LONGVIEW TX,335,248
2017-01-01,VICTORIA TX,88,76
2017-01-01,WACO-TEMPLE-BRYAN TX,179,141
2017-01-08,ABILENE-SWEETWATER TX,290,231
2017-01-08,ALEXANDRIA LA,216,179
2017-01-08,AMARILLO TX,440,332
2017-01-08,AUSTIN TX,164,140
2017-01-08,All Other Suddenlink DMA Total,1338,1037
2017-01-08,BLUEFIELD-BECKLEY-OAK HILL WV,168,149
2017-01-08,CHARLESTON-HUNTINGTON WV,510,423
2017-01-08,DALLAS-FT WORTH TX,380,331
2017-01-08,EUREKA CA,171,126
2017-01-08,GREENVILLE-NEW BERN-WASH NC,380,312
2017-01-08,HOUSTON TX,395,339
2017-01-08,JONESBORO AR,145,113
2017-01-08,LAKE CHARLES LA,265,219
2017-01-08,LITTLE ROCK AR,343,272
2017-01-08,LUBBOCK TX,387,313
2017-01-08,MONROE-EL DORADO LA-AR,140,111
2017-01-08,ODESSA-MIDLAND TX,284,236
2017-01-08,OKLAHOMA CITY OK,294,230
2017-01-08,PARKERSBURG WV,133,104
2017-01-08,PHOENIX AZ,610,527
2017-01-08,RALEIGH-DURHAM NC,80,70
2017-01-08,SAN ANGELO TX,285,230
2017-01-08,SHREVEPORT LA,280,244
2017-01-08,SPRINGFIELD MO,248,216
2017-01-08,ST JOSEPH MO,116,97
2017-01-08,TULSA OK,123,107
2017-01-08,TYLER-LONGVIEW TX,550,436
2017-01-08,VICTORIA TX,119,96
2017-01-08,WACO-TEMPLE-BRYAN TX,257,216
2017-01-15,ABILENE-SWEETWATER TX,273,218
2017-01-15,ALEXANDRIA LA,243,200
2017-01-15,AMARILLO TX,422,327
2017-01-15,AUSTIN TX,173,146
2017-01-15,All Other Suddenlink DMA Total,922,668
2017-01-15,BLUEFIELD-BECKLEY-OAK HILL WV,130,109
2017-01-15,CHARLESTON-HUNTINGTON WV,403,320
2017-01-15,DALLAS-FT WORTH TX,390,352
2017-01-15,EUREKA CA,156,122
2017-01-15,GREENVILLE-NEW BERN-WASH NC,387,327
2017-01-15,HOUSTON TX,404,343
2017-01-15,JONESBORO AR,161,109
2017-01-15,LAKE CHARLES LA,247,200
2017-01-15,LITTLE ROCK AR,333,268
2017-01-15,LUBBOCK TX,445,350
2017-01-15,MONROE-EL DORADO LA-AR,121,100
2017-01-15,ODESSA-MIDLAND TX,261,222
2017-01-15,OKLAHOMA CITY OK,242,200
2017-01-15,PARKERSBURG WV,120,99
2017-01-15,PHOENIX AZ,493,410
2017-01-15,RALEIGH-DURHAM NC,105,93
2017-01-15,SAN ANGELO TX,229,179
2017-01-15,SHREVEPORT LA,243,203
2017-01-15,SPRINGFIELD MO,214,176
2017-01-15,ST JOSEPH MO,113,86
2017-01-15,TULSA OK,106,80
2017-01-15,TYLER-LONGVIEW TX,519,416
2017-01-15,VICTORIA TX,121,99
2017-01-15,WACO-TEMPLE-BRYAN TX,267,218
2017-01-22,ABILENE-SWEETWATER TX,246,185
2017-01-22,ALEXANDRIA LA,238,189
2017-01-22,AMARILLO TX,443,334
2017-01-22,AUSTIN TX,153,128
2017-01-22,All Other Suddenlink DMA Total,878,638
2017-01-22,BLUEFIELD-BECKLEY-OAK HILL WV,160,131
2017-01-22,CHARLESTON-HUNTINGTON WV,469,362
2017-01-22,DALLAS-FT WORTH TX,386,338
2017-01-22,EUREKA CA,180,132
2017-01-22,GREENVILLE-NEW BERN-WASH NC,391,295
2017-01-22,HOUSTON TX,373,314
2017-01-22,JONESBORO AR,141,103
2017-01-22,LAKE CHARLES LA,247,195
2017-01-22,LITTLE ROCK AR,278,222
2017-01-22,LUBBOCK TX,369,290
2017-01-22,MONROE-EL DORADO LA-AR,118,98
2017-01-22,ODESSA-MIDLAND TX,233,193
2017-01-22,OKLAHOMA CITY OK,263,208
2017-01-22,PARKERSBURG WV,158,118
2017-01-22,PHOENIX AZ,474,384
2017-01-22,RALEIGH-DURHAM NC,131,118
2017-01-22,SAN ANGELO TX,231,177
2017-01-22,SHREVEPORT LA,255,204
2017-01-22,SPRINGFIELD MO,187,152
2017-01-22,ST JOSEPH MO,108,79
2017-01-22,TULSA OK,86,66
2017-01-22,TYLER-LONGVIEW TX,499,400
2017-01-22,VICTORIA TX,120,93
2017-01-22,WACO-TEMPLE-BRYAN TX,194,147
2017-01-29,ABILENE-SWEETWATER TX,309,212
2017-01-29,ALEXANDRIA LA,259,197
2017-01-29,AMARILLO TX,490,346
2017-01-29,AUSTIN TX,185,145
2017-01-29,All Other Suddenlink DMA Total,917,637
2017-01-29,BLUEFIELD-BECKLEY-OAK HILL WV,197,158
