period,true_true_ga
2016-02-28,10281
2016-03-06,8646
2016-03-13,8439
2016-03-20,7351
2016-03-27,8315
2016-04-03,9134
2016-04-10,7855
2016-04-17,7654
2016-04-24,8447
2016-05-01,10599
2016-05-08,8913
2016-05-15,9263
2016-05-22,9458
2016-05-29,10220
2016-06-05,9879
2016-06-12,8432
2016-06-19,7856
2016-06-26,9378
2016-07-03,9144
2016-07-10,9143
2016-07-17,8427
2016-07-24,8108
2016-07-31,10716
2016-08-07,9396
2016-08-14,8830
2016-08-21,8791
2016-08-28,10671
2016-09-04,9161
2016-09-11,9712
2016-09-18,9290
2016-09-25,9205
2016-10-02,10100
2016-10-09,8209
2016-10-16,7596
2016-10-23,7512
2016-10-30,9374
2016-11-06,8473
2016-11-13,7789
2016-11-20,6035
2016-11-27,8985
2016-12-04,8823
2016-12-11,7562
2016-12-18,7975
2016-12-25,6584
2017-01-01,7957
2017-01-08,8705
2017-01-15,8278
2017-01-22,8104
2017-01-29,10803
2017-02-05,7869
2017-02-12,9340
2017-02-19,8587
2017-02-26,10819
2017-03-05,9878
2017-03-12,7209
2017-03-19,8102
2017-03-26,8458
2017-04-02,9177
2017-04-09,7719
2017-04-16,6758
2017-04-23,7569
2017-04-30,9136
2017-05-07,8034
2017-05-14,8096
2017-05-21,9665
2017-05-28,9567
2017-06-04,10687
2017-06-11,9378
2017-06-18,8812
2017-06-25,10214
2017-07-02,8766
2017-07-09,10368
2017-07-16,10097
2017-07-23,10089
2017-07-30,10324
2017-08-06,10457
2017-08-13,9952
2017-08-20,9821
2017-08-27,10462
2017-09-03,10118
2017-09-10,10695
2017-09-17,9882
2017-09-24,9571
2017-10-01,10238
2017-10-08,9241
2017-10-15,9174
2017-10-22,9455
2017-10-29,9938
2017-11-05,10973
2017-11-12,10335
2017-11-19,7598
2017-11-26,10168
2017-12-03,10541
2017-12-10,8745
2017-12-17,8680
2017-12-24,7078
2017-12-31,6022
2018-01-07,9148
2018-01-14,8113
2018-01-21,8093
2018-01-28,8804
2018-02-04,8474
2018-02-11,7274
2018-02-18,7088
2018-02-25,8948
2018-03-04,8192
2018-03-11,8160
2018-03-18,8509
2018-03-25,8851
2018-04-01,8892
2018-04-08,7987
2018-04-15,7819
2018-04-22,7926
2018-04-29,8650
2018-05-06,8349
2018-05-13,8280
2018-05-20,8548
2018-05-27,7772
2018-06-03,9202
