period,mmm_b2c_acq_dma,true_true_ga
2019-09-01,ABILENE-SWEETWATER TX,18
2019-09-01,ALEXANDRIA LA,10
2019-09-01,AMARILLO TX,42
2019-09-01,AUSTIN TX,21
2019-09-01,All Other Suddenlink DMA Total,23
2019-09-01,BLUEFIELD-BECKLEY-OAK HILL WV,10
2019-09-01,CHARLESTON-HUNTINGTON WV,35
2019-09-01,DALLAS-FT WORTH TX,17
2019-09-01,EUREKA CA,6
2019-09-01,GREENVILLE-NEW BERN-WASH NC,97
2019-09-01,HOUSTON TX,53
2019-09-01,JONESBORO AR,5
2019-09-01,LAKE CHARLES LA,8
2019-09-01,LITTLE ROCK AR,19
2019-09-01,LUBBOCK TX,44
2019-09-01,MONROE-EL DORADO LA-AR,16
2019-09-01,ODESSA-MIDLAND TX,20
2019-09-01,OKLAHOMA CITY OK,12
2019-09-01,PARKERSBURG WV,5
2019-09-01,PHOENIX AZ,35
2019-09-01,RALEIGH-DURHAM NC,48
2019-09-01,SAN ANGELO TX,11
2019-09-01,SHREVEPORT LA,21
2019-09-01,SPRINGFIELD MO,21
2019-09-01,ST JOSEPH MO,9
2019-09-01,TULSA OK,4
2019-09-01,TYLER-LONGVIEW TX,54
2019-09-01,VICTORIA TX,15
2019-09-01,WACO-TEMPLE-BRYAN TX,44
2019-09-08,ABILENE-SWEETWATER TX,274
2019-09-08,ALEXANDRIA LA,187
2019-09-08,AMARILLO TX,395
2019-09-08,AUSTIN TX,276
2019-09-08,All Other Suddenlink DMA Total,563
2019-09-08,BLUEFIELD-BECKLEY-OAK HILL WV,155
2019-09-08,CHARLESTON-HUNTINGTON WV,366
2019-09-08,DALLAS-FT WORTH TX,500
2019-09-08,EUREKA CA,125
2019-09-08,GREENVILLE-NEW BERN-WASH NC,450
2019-09-08,HOUSTON TX,601
2019-09-08,JONESBORO AR,190
2019-09-08,LAKE CHARLES LA,186
2019-09-08,LITTLE ROCK AR,349
2019-09-08,LUBBOCK TX,419
2019-09-08,MONROE-EL DORADO LA-AR,219
2019-09-08,ODESSA-MIDLAND TX,214
2019-09-08,OKLAHOMA CITY OK,243
2019-09-08,PARKERSBURG WV,82
2019-09-08,PHOENIX AZ,463
2019-09-08,RALEIGH-DURHAM NC,119
2019-09-08,SAN ANGELO TX,186
2019-09-08,SHREVEPORT LA,296
2019-09-08,SPRINGFIELD MO,216
2019-09-08,ST JOSEPH MO,122
2019-09-08,TULSA OK,104
2019-09-08,TYLER-LONGVIEW TX,543
2019-09-08,VICTORIA TX,124
2019-09-08,WACO-TEMPLE-BRYAN TX,446
2019-09-15,ABILENE-SWEETWATER TX,250
2019-09-15,ALEXANDRIA LA,214
2019-09-15,AMARILLO TX,333
2019-09-15,AUSTIN TX,345
2019-09-15,All Other Suddenlink DMA Total,517
2019-09-15,BLUEFIELD-BECKLEY-OAK HILL WV,194
2019-09-15,CHARLESTON-HUNTINGTON WV,477
2019-09-15,DALLAS-FT WORTH TX,516
2019-09-15,EUREKA CA,130
2019-09-15,GREENVILLE-NEW BERN-WASH NC,413
2019-09-15,HOUSTON TX,467
2019-09-15,JONESBORO AR,158
2019-09-15,LAKE CHARLES LA,217
2019-09-15,LITTLE ROCK AR,321
2019-09-15,LUBBOCK TX,447
2019-09-15,MONROE-EL DORADO LA-AR,188
2019-09-15,ODESSA-MIDLAND TX,265
2019-09-15,OKLAHOMA CITY OK,241
2019-09-15,PARKERSBURG WV,89
2019-09-15,PHOENIX AZ,465
2019-09-15,RALEIGH-DURHAM NC,122
2019-09-15,SAN ANGELO TX,199
2019-09-15,SHREVEPORT LA,314
2019-09-15,SPRINGFIELD MO,233
2019-09-15,ST JOSEPH MO,104
2019-09-15,TULSA OK,87
2019-09-15,TYLER-LONGVIEW TX,495
2019-09-15,VICTORIA TX,118
2019-09-15,WACO-TEMPLE-BRYAN TX,295
2019-09-22,ABILENE-SWEETWATER TX,298
2019-09-22,ALEXANDRIA LA,231
2019-09-22,AMARILLO TX,377
2019-09-22,AUSTIN TX,378
2019-09-22,All Other Suddenlink DMA Total,616
2019-09-22,BLUEFIELD-BECKLEY-OAK HILL WV,225
2019-09-22,CHARLESTON-HUNTINGTON WV,542
2019-09-22,DALLAS-FT WORTH TX,566
2019-09-22,EUREKA CA,178
2019-09-22,GREENVILLE-NEW BERN-WASH NC,405
2019-09-22,HOUSTON TX,519
2019-09-22,JONESBORO AR,186
2019-09-22,LAKE CHARLES LA,290
2019-09-22,LITTLE ROCK AR,334
2019-09-22,LUBBOCK TX,451
2019-09-22,MONROE-EL DORADO LA-AR,143
2019-09-22,ODESSA-MIDLAND TX,270
2019-09-22,OKLAHOMA CITY OK,277
2019-09-22,PARKERSBURG WV,115
2019-09-22,PHOENIX AZ,479
2019-09-22,RALEIGH-DURHAM NC,187
2019-09-22,SAN ANGELO TX,220
2019-09-22,SHREVEPORT LA,294
2019-09-22,SPRINGFIELD MO,240
2019-09-22,ST JOSEPH MO,95
2019-09-22,TULSA OK,88
2019-09-22,TYLER-LONGVIEW TX,590
2019-09-22,VICTORIA TX,95
2019-09-22,WACO-TEMPLE-BRYAN TX,319
2019-09-29,ABILENE-SWEETWATER TX,274
2019-09-29,ALEXANDRIA LA,164
2019-09-29,AMARILLO TX,281
2019-09-29,AUSTIN TX,321
2019-09-29,All Other Suddenlink DMA Total,571
2019-09-29,BLUEFIELD-BECKLEY-OAK HILL WV,202
2019-09-29,CHARLESTON-HUNTINGTON WV,531
2019-09-29,DALLAS-FT WORTH TX,517
2019-09-29,EUREKA CA,177
2019-09-29,GREENVILLE-NEW BERN-WASH NC,443
2019-09-29,HOUSTON TX,741
2019-09-29,JONESBORO AR,186
2019-09-29,LAKE CHARLES LA,277
2019-09-29,LITTLE ROCK AR,275
2019-09-29,LUBBOCK TX,351
2019-09-29,MONROE-EL DORADO LA-AR,113
2019-09-29,ODESSA-MIDLAND TX,254
2019-09-29,OKLAHOMA CITY OK,252
2019-09-29,PARKERSBURG WV,120
2019-09-29,PHOENIX AZ,452
2019-09-29,RALEIGH-DURHAM NC,140
2019-09-29,SAN ANGELO TX,255
2019-09-29,SHREVEPORT LA,263
2019-09-29,SPRINGFIELD MO,232
2019-09-29,ST JOSEPH MO,80
2019-09-29,TULSA OK,90
2019-09-29,TYLER-LONGVIEW TX,468
2019-09-29,VICTORIA TX,89
2019-09-29,WACO-TEMPLE-BRYAN TX,281
2019-10-06,ABILENE-SWEETWATER TX,260
2019-10-06,ALEXANDRIA LA,223
2019-10-06,AMARILLO TX,333
2019-10-06,AUSTIN TX,265
2019-10-06,All Other Suddenlink DMA Total,518
2019-10-06,BLUEFIELD-BECKLEY-OAK HILL WV,217
2019-10-06,CHARLESTON-HUNTINGTON WV,474
2019-10-06,DALLAS-FT WORTH TX,494
2019-10-06,EUREKA CA,132
2019-10-06,GREENVILLE-NEW BERN-WASH NC,377
2019-10-06,HOUSTON TX,454
2019-10-06,JONESBORO AR,160
2019-10-06,LAKE CHARLES LA,237
2019-10-06,LITTLE ROCK AR,258
2019-10-06,LUBBOCK TX,390
2019-10-06,MONROE-EL DORADO LA-AR,88
2019-10-06,ODESSA-MIDLAND TX,222
2019-10-06,OKLAHOMA CITY OK,251
2019-10-06,PARKERSBURG WV,150
2019-10-06,PHOENIX AZ,501
2019-10-06,RALEIGH-DURHAM NC,143
2019-10-06,SAN ANGELO TX,162
2019-10-06,SHREVEPORT LA,285
2019-10-06,SPRINGFIELD MO,213
2019-10-06,ST JOSEPH MO,101
2019-10-06,TULSA OK,98
2019-10-06,TYLER-LONGVIEW TX,528
2019-10-06,VICTORIA TX,73
2019-10-06,WACO-TEMPLE-BRYAN TX,251
2019-10-13,ABILENE-SWEETWATER TX,226
2019-10-13,ALEXANDRIA LA,217
2019-10-13,AMARILLO TX,322
2019-10-13,AUSTIN TX,251
2019-10-13,All Other Suddenlink DMA Total,566
2019-10-13,BLUEFIELD-BECKLEY-OAK HILL WV,201
2019-10-13,CHARLESTON-HUNTINGTON WV,445
2019-10-13,DALLAS-FT WORTH TX,490
2019-10-13,EUREKA CA,172
2019-10-13,GREENVILLE-NEW BERN-WASH NC,367
2019-10-13,HOUSTON TX,414
2019-10-13,JONESBORO AR,169
2019-10-13,LAKE CHARLES LA,202
2019-10-13,LITTLE ROCK AR,297
2019-10-13,LUBBOCK TX,385
2019-10-13,MONROE-EL DORADO LA-AR,93
2019-10-13,ODESSA-MIDLAND TX,237
2019-10-13,OKLAHOMA CITY OK,227
2019-10-13,PARKERSBURG WV,98
2019-10-13,PHOENIX AZ,508
2019-10-13,RALEIGH-DURHAM NC,128
2019-10-13,SAN ANGELO TX,197
2019-10-13,SHREVEPORT LA,270
2019-10-13,SPRINGFIELD MO,231
2019-10-13,ST JOSEPH MO,108
2019-10-13,TULSA OK,76
2019-10-13,TYLER-LONGVIEW TX,489
2019-10-13,VICTORIA TX,68
2019-10-13,WACO-TEMPLE-BRYAN TX,242
2019-10-20,ABILENE-SWEETWATER TX,180
2019-10-20,ALEXANDRIA LA,182
2019-10-20,AMARILLO TX,280
2019-10-20,AUSTIN TX,247
2019-10-20,All Other Suddenlink DMA Total,546
2019-10-20,BLUEFIELD-BECKLEY-OAK HILL WV,248
2019-10-20,CHARLESTON-HUNTINGTON WV,406
2019-10-20,DALLAS-FT WORTH TX,423
2019-10-20,EUREKA CA,132
2019-10-20,GREENVILLE-NEW BERN-WASH NC,425
2019-10-20,HOUSTON TX,436
2019-10-20,JONESBORO AR,146
2019-10-20,LAKE CHARLES LA,225
2019-10-20,LITTLE ROCK AR,277
2019-10-20,LUBBOCK TX,334
2019-10-20,MONROE-EL DORADO LA-AR,106
2019-10-20,ODESSA-MIDLAND TX,183
2019-10-20,OKLAHOMA CITY OK,223
2019-10-20,PARKERSBURG WV,113
2019-10-20,PHOENIX AZ,453
2019-10-20,RALEIGH-DURHAM NC,133
2019-10-20,SAN ANGELO TX,173
2019-10-20,SHREVEPORT LA,228
2019-10-20,SPRINGFIELD MO,204
2019-10-20,ST JOSEPH MO,76
2019-10-20,TULSA OK,88
2019-10-20,TYLER-LONGVIEW TX,481
2019-10-20,VICTORIA TX,93
2019-10-20,WACO-TEMPLE-BRYAN TX,278
2019-10-27,ABILENE-SWEETWATER TX,202
2019-10-27,ALEXANDRIA LA,188
2019-10-27,AMARILLO TX,359
2019-10-27,AUSTIN TX,282
2019-10-27,All Other Suddenlink DMA Total,613
2019-10-27,BLUEFIELD-BECKLEY-OAK HILL WV,228
2019-10-27,CHARLESTON-HUNTINGTON WV,366
2019-10-27,DALLAS-FT WORTH TX,465
2019-10-27,EUREKA CA,92
2019-10-27,GREENVILLE-NEW BERN-WASH NC,374
2019-10-27,HOUSTON TX,446
2019-10-27,JONESBORO AR,166
2019-10-27,LAKE CHARLES LA,203
2019-10-27,LITTLE ROCK AR,260
2019-10-27,LUBBOCK TX,328
2019-10-27,MONROE-EL DORADO LA-AR,91
2019-10-27,ODESSA-MIDLAND TX,191
2019-10-27,OKLAHOMA CITY OK,222
2019-10-27,PARKERSBURG WV,90
2019-10-27,PHOENIX AZ,490
2019-10-27,RALEIGH-DURHAM NC,122
2019-10-27,SAN ANGELO TX,186
2019-10-27,SHREVEPORT LA,244
2019-10-27,SPRINGFIELD MO,202
2019-10-27,ST JOSEPH MO,80
2019-10-27,TULSA OK,74
2019-10-27,TYLER-LONGVIEW TX,459
2019-10-27,VICTORIA TX,98
2019-10-27,WACO-TEMPLE-BRYAN TX,214
2019-11-03,ABILENE-SWEETWATER TX,249
2019-11-03,ALEXANDRIA LA,174
2019-11-03,AMARILLO TX,397
2019-11-03,AUSTIN TX,330
2019-11-03,All Other Suddenlink DMA Total,685
2019-11-03,BLUEFIELD-BECKLEY-OAK HILL WV,227
2019-11-03,CHARLESTON-HUNTINGTON WV,353
2019-11-03,DALLAS-FT WORTH TX,497
2019-11-03,EUREKA CA,161
2019-11-03,GREENVILLE-NEW BERN-WASH NC,376
2019-11-03,HOUSTON TX,440
2019-11-03,JONESBORO AR,170
2019-11-03,LAKE CHARLES LA,250
2019-11-03,LITTLE ROCK AR,292
2019-11-03,LUBBOCK TX,389
2019-11-03,MONROE-EL DORADO LA-AR,136
2019-11-03,ODESSA-MIDLAND TX,224
2019-11-03,OKLAHOMA CITY OK,186
2019-11-03,PARKERSBURG WV,99
2019-11-03,PHOENIX AZ,606
2019-11-03,RALEIGH-DURHAM NC,91
2019-11-03,SAN ANGELO TX,240
2019-11-03,SHREVEPORT LA,260
2019-11-03,SPRINGFIELD MO,196
2019-11-03,ST JOSEPH MO,98
2019-11-03,TULSA OK,92
2019-11-03,TYLER-LONGVIEW TX,523
2019-11-03,VICTORIA TX,85
2019-11-03,WACO-TEMPLE-BRYAN TX,269
2019-11-10,ABILENE-SWEETWATER TX,198
2019-11-10,ALEXANDRIA LA,188
2019-11-10,AMARILLO TX,377
2019-11-10,AUSTIN TX,280
2019-11-10,All Other Suddenlink DMA Total,569
2019-11-10,BLUEFIELD-BECKLEY-OAK HILL WV,186
2019-11-10,CHARLESTON-HUNTINGTON WV,422
2019-11-10,DALLAS-FT WORTH TX,475
2019-11-10,EUREKA CA,123
2019-11-10,GREENVILLE-NEW BERN-WASH NC,327
2019-11-10,HOUSTON TX,448
2019-11-10,JONESBORO AR,181
2019-11-10,LAKE CHARLES LA,204
2019-11-10,LITTLE ROCK AR,241
2019-11-10,LUBBOCK TX,411
2019-11-10,MONROE-EL DORADO LA-AR,86
2019-11-10,ODESSA-MIDLAND TX,218
2019-11-10,OKLAHOMA CITY OK,179
2019-11-10,PARKERSBURG WV,101
2019-11-10,PHOENIX AZ,496
2019-11-10,RALEIGH-DURHAM NC,109
2019-11-10,SAN ANGELO TX,177
2019-11-10,SHREVEPORT LA,258
2019-11-10,SPRINGFIELD MO,195
2019-11-10,ST JOSEPH MO,85
2019-11-10,TULSA OK,86
