period,mmm_b2c_acq_dma,inbound_call_volume
2017-12-31,ABILENE-SWEETWATER TX,141
2017-12-31,ALEXANDRIA LA,169
2017-12-31,AMARILLO TX,270
2017-12-31,AUSTIN TX,116
2017-12-31,All Other Suddenlink DMA Total,533
2017-12-31,BLUEFIELD-BECKLEY-OAK HILL WV,191
2017-12-31,CHARLESTON-HUNTINGTON WV,455
2017-12-31,DALLAS-FT WORTH TX,309
2017-12-31,EUREKA CA,82
2017-12-31,GREENVILLE-NEW BERN-WASH NC,201
2017-12-31,HOUSTON TX,262
2017-12-31,JONESBORO AR,60
2017-12-31,LAKE CHARLES LA,220
2017-12-31,LITTLE ROCK AR,186
2017-12-31,LUBBOCK TX,320
2017-12-31,MONROE-EL DORADO LA-AR,74
2017-12-31,"NEW YORK, NY",5839
2017-12-31,ODESSA-MIDLAND TX,178
2017-12-31,OKLAHOMA CITY OK,173
2017-12-31,PARKERSBURG WV,107
2017-12-31,PHOENIX AZ,307
2017-12-31,RALEIGH-DURHAM NC,131
2017-12-31,SAN ANGELO TX,108
2017-12-31,SHREVEPORT LA,198
2017-12-31,SPRINGFIELD MO,128
2017-12-31,ST JOSEPH MO,71
2017-12-31,TULSA OK,78
2017-12-31,TYLER-LONGVIEW TX,311
2017-12-31,VICTORIA TX,57
2017-12-31,WACO-TEMPLE-BRYAN TX,130
2018-01-07,ABILENE-SWEETWATER TX,187
2018-01-07,ALEXANDRIA LA,217
2018-01-07,AMARILLO TX,319
2018-01-07,AUSTIN TX,152
2018-01-07,All Other Suddenlink DMA Total,649
2018-01-07,BLUEFIELD-BECKLEY-OAK HILL WV,246
2018-01-07,CHARLESTON-HUNTINGTON WV,522
2018-01-07,DALLAS-FT WORTH TX,417
2018-01-07,EUREKA CA,102
2018-01-07,GREENVILLE-NEW BERN-WASH NC,310
2018-01-07,HOUSTON TX,343
2018-01-07,JONESBORO AR,114
2018-01-07,LAKE CHARLES LA,221
2018-01-07,LITTLE ROCK AR,249
2018-01-07,LUBBOCK TX,401
2018-01-07,MONROE-EL DORADO LA-AR,114
2018-01-07,"NEW YORK, NY",8583
2018-01-07,ODESSA-MIDLAND TX,248
2018-01-07,OKLAHOMA CITY OK,200
2018-01-07,PARKERSBURG WV,184
2018-01-07,PHOENIX AZ,372
2018-01-07,RALEIGH-DURHAM NC,154
2018-01-07,SAN ANGELO TX,167
2018-01-07,SHREVEPORT LA,231
2018-01-07,SPRINGFIELD MO,136
2018-01-07,ST JOSEPH MO,98
2018-01-07,TULSA OK,107
2018-01-07,TYLER-LONGVIEW TX,425
2018-01-07,VICTORIA TX,55
2018-01-07,WACO-TEMPLE-BRYAN TX,188
2018-01-14,ABILENE-SWEETWATER TX,120
2018-01-14,ALEXANDRIA LA,201
2018-01-14,AMARILLO TX,276
2018-01-14,AUSTIN TX,111
2018-01-14,All Other Suddenlink DMA Total,578
2018-01-14,BLUEFIELD-BECKLEY-OAK HILL WV,196
2018-01-14,CHARLESTON-HUNTINGTON WV,459
2018-01-14,DALLAS-FT WORTH TX,330
2018-01-14,EUREKA CA,76
2018-01-14,GREENVILLE-NEW BERN-WASH NC,249
2018-01-14,HOUSTON TX,302
2018-01-14,JONESBORO AR,112
2018-01-14,LAKE CHARLES LA,203
2018-01-14,LITTLE ROCK AR,192
2018-01-14,LUBBOCK TX,311
2018-01-14,MONROE-EL DORADO LA-AR,100
2018-01-14,"NEW YORK, NY",8187
2018-01-14,ODESSA-MIDLAND TX,205
2018-01-14,OKLAHOMA CITY OK,197
2018-01-14,PARKERSBURG WV,130
2018-01-14,PHOENIX AZ,320
2018-01-14,RALEIGH-DURHAM NC,150
2018-01-14,SAN ANGELO TX,140
2018-01-14,SHREVEPORT LA,180
2018-01-14,SPRINGFIELD MO,124
2018-01-14,ST JOSEPH MO,83
2018-01-14,TULSA OK,75
2018-01-14,TYLER-LONGVIEW TX,384
2018-01-14,VICTORIA TX,71
2018-01-14,WACO-TEMPLE-BRYAN TX,164
2018-01-21,ABILENE-SWEETWATER TX,152
2018-01-21,ALEXANDRIA LA,213
2018-01-21,AMARILLO TX,314
2018-01-21,AUSTIN TX,121
2018-01-21,All Other Suddenlink DMA Total,519
2018-01-21,BLUEFIELD-BECKLEY-OAK HILL WV,187
2018-01-21,CHARLESTON-HUNTINGTON WV,437
2018-01-21,DALLAS-FT WORTH TX,356
2018-01-21,EUREKA CA,114
2018-01-21,GREENVILLE-NEW BERN-WASH NC,275
2018-01-21,HOUSTON TX,306
2018-01-21,JONESBORO AR,112
2018-01-21,LAKE CHARLES LA,188
2018-01-21,LITTLE ROCK AR,202
2018-01-21,LUBBOCK TX,276
2018-01-21,MONROE-EL DORADO LA-AR,101
2018-01-21,"NEW YORK, NY",9264
2018-01-21,ODESSA-MIDLAND TX,231
2018-01-21,OKLAHOMA CITY OK,196
2018-01-21,PARKERSBURG WV,156
2018-01-21,PHOENIX AZ,273
2018-01-21,RALEIGH-DURHAM NC,172
2018-01-21,SAN ANGELO TX,138
2018-01-21,SHREVEPORT LA,198
2018-01-21,SPRINGFIELD MO,143
2018-01-21,ST JOSEPH MO,73
2018-01-21,TULSA OK,66
2018-01-21,TYLER-LONGVIEW TX,355
2018-01-21,VICTORIA TX,63
2018-01-21,WACO-TEMPLE-BRYAN TX,160
2018-01-28,ABILENE-SWEETWATER TX,161
2018-01-28,ALEXANDRIA LA,236
2018-01-28,AMARILLO TX,318
2018-01-28,AUSTIN TX,126
2018-01-28,All Other Suddenlink DMA Total,648
2018-01-28,BLUEFIELD-BECKLEY-OAK HILL WV,276
2018-01-28,CHARLESTON-HUNTINGTON WV,460
2018-01-28,DALLAS-FT WORTH TX,378
2018-01-28,EUREKA CA,82
2018-01-28,GREENVILLE-NEW BERN-WASH NC,381
2018-01-28,HOUSTON TX,324
2018-01-28,JONESBORO AR,120
2018-01-28,LAKE CHARLES LA,237
2018-01-28,LITTLE ROCK AR,226
2018-01-28,LUBBOCK TX,297
2018-01-28,MONROE-EL DORADO LA-AR,125
2018-01-28,"NEW YORK, NY",9998
2018-01-28,ODESSA-MIDLAND TX,252
2018-01-28,OKLAHOMA CITY OK,171
2018-01-28,PARKERSBURG WV,150
2018-01-28,PHOENIX AZ,321
2018-01-28,RALEIGH-DURHAM NC,209
2018-01-28,SAN ANGELO TX,127
2018-01-28,SHREVEPORT LA,252
2018-01-28,SPRINGFIELD MO,163
2018-01-28,ST JOSEPH MO,77
2018-01-28,TULSA OK,72
2018-01-28,TYLER-LONGVIEW TX,405
2018-01-28,VICTORIA TX,58
2018-01-28,WACO-TEMPLE-BRYAN TX,176
2018-02-04,ABILENE-SWEETWATER TX,155
2018-02-04,ALEXANDRIA LA,212
2018-02-04,AMARILLO TX,254
2018-02-04,AUSTIN TX,136
2018-02-04,All Other Suddenlink DMA Total,570
2018-02-04,BLUEFIELD-BECKLEY-OAK HILL WV,253
2018-02-04,CHARLESTON-HUNTINGTON WV,460
2018-02-04,DALLAS-FT WORTH TX,354
2018-02-04,EUREKA CA,63
2018-02-04,GREENVILLE-NEW BERN-WASH NC,299
2018-02-04,HOUSTON TX,346
2018-02-04,JONESBORO AR,110
2018-02-04,LAKE CHARLES LA,198
2018-02-04,LITTLE ROCK AR,217
2018-02-04,LUBBOCK TX,300
2018-02-04,MONROE-EL DORADO LA-AR,159
2018-02-04,"NEW YORK, NY",9093
2018-02-04,ODESSA-MIDLAND TX,231
2018-02-04,OKLAHOMA CITY OK,208
2018-02-04,PARKERSBURG WV,156
2018-02-04,PHOENIX AZ,295
2018-02-04,RALEIGH-DURHAM NC,135
2018-02-04,SAN ANGELO TX,132
2018-02-04,SHREVEPORT LA,209
2018-02-04,SPRINGFIELD MO,133
2018-02-04,ST JOSEPH MO,75
2018-02-04,TULSA OK,68
2018-02-04,TYLER-LONGVIEW TX,395
2018-02-04,VICTORIA TX,61
2018-02-04,WACO-TEMPLE-BRYAN TX,112
2018-02-11,ABILENE-SWEETWATER TX,158
2018-02-11,ALEXANDRIA LA,192
2018-02-11,AMARILLO TX,248
2018-02-11,AUSTIN TX,111
2018-02-11,All Other Suddenlink DMA Total,514
2018-02-11,BLUEFIELD-BECKLEY-OAK HILL WV,217
2018-02-11,CHARLESTON-HUNTINGTON WV,367
2018-02-11,DALLAS-FT WORTH TX,322
2018-02-11,EUREKA CA,73
2018-02-11,GREENVILLE-NEW BERN-WASH NC,260
2018-02-11,HOUSTON TX,300
2018-02-11,JONESBORO AR,72
2018-02-11,LAKE CHARLES LA,186
2018-02-11,LITTLE ROCK AR,186
2018-02-11,LUBBOCK TX,276
2018-02-11,MONROE-EL DORADO LA-AR,88
2018-02-11,"NEW YORK, NY",7858
2018-02-11,ODESSA-MIDLAND TX,178
2018-02-11,OKLAHOMA CITY OK,136
2018-02-11,PARKERSBURG WV,127
2018-02-11,PHOENIX AZ,258
2018-02-11,RALEIGH-DURHAM NC,126
2018-02-11,SAN ANGELO TX,100
2018-02-11,SHREVEPORT LA,208
2018-02-11,SPRINGFIELD MO,118
2018-02-11,ST JOSEPH MO,71
2018-02-11,TULSA OK,69
2018-02-11,TYLER-LONGVIEW TX,348
2018-02-11,VICTORIA TX,49
2018-02-11,WACO-TEMPLE-BRYAN TX,118
2018-02-18,ABILENE-SWEETWATER TX,203
2018-02-18,ALEXANDRIA LA,312
2018-02-18,AMARILLO TX,379
2018-02-18,AUSTIN TX,136
2018-02-18,All Other Suddenlink DMA Total,661
2018-02-18,BLUEFIELD-BECKLEY-OAK HILL WV,284
2018-02-18,CHARLESTON-HUNTINGTON WV,494
2018-02-18,DALLAS-FT WORTH TX,451
2018-02-18,EUREKA CA,76
2018-02-18,GREENVILLE-NEW BERN-WASH NC,381
2018-02-18,HOUSTON TX,338
2018-02-18,JONESBORO AR,164
2018-02-18,LAKE CHARLES LA,303
2018-02-18,LITTLE ROCK AR,257
2018-02-18,LUBBOCK TX,389
2018-02-18,MONROE-EL DORADO LA-AR,151
2018-02-18,"NEW YORK, NY",9312
2018-02-18,ODESSA-MIDLAND TX,260
2018-02-18,OKLAHOMA CITY OK,222
2018-02-18,PARKERSBURG WV,136
2018-02-18,PHOENIX AZ,265
2018-02-18,RALEIGH-DURHAM NC,180
2018-02-18,SAN ANGELO TX,154
2018-02-18,SHREVEPORT LA,319
2018-02-18,SPRINGFIELD MO,147
2018-02-18,ST JOSEPH MO,125
2018-02-18,TULSA OK,110
2018-02-18,TYLER-LONGVIEW TX,472
2018-02-18,VICTORIA TX,92
2018-02-18,WACO-TEMPLE-BRYAN TX,187
2018-02-25,ABILENE-SWEETWATER TX,242
2018-02-25,ALEXANDRIA LA,380
2018-02-25,AMARILLO TX,448
2018-02-25,AUSTIN TX,152
2018-02-25,All Other Suddenlink DMA Total,778
2018-02-25,BLUEFIELD-BECKLEY-OAK HILL WV,377
2018-02-25,CHARLESTON-HUNTINGTON WV,612
2018-02-25,DALLAS-FT WORTH TX,485
2018-02-25,EUREKA CA,72
2018-02-25,GREENVILLE-NEW BERN-WASH NC,406
2018-02-25,HOUSTON TX,337
2018-02-25,JONESBORO AR,142
2018-02-25,LAKE CHARLES LA,347
2018-02-25,LITTLE ROCK AR,318
2018-02-25,LUBBOCK TX,506
2018-02-25,MONROE-EL DORADO LA-AR,184
2018-02-25,"NEW YORK, NY",10549
2018-02-25,ODESSA-MIDLAND TX,269
2018-02-25,OKLAHOMA CITY OK,218
2018-02-25,PARKERSBURG WV,210
2018-02-25,PHOENIX AZ,299
2018-02-25,RALEIGH-DURHAM NC,219
2018-02-25,SAN ANGELO TX,183
2018-02-25,SHREVEPORT LA,296
2018-02-25,SPRINGFIELD MO,186
2018-02-25,ST JOSEPH MO,113
2018-02-25,TULSA OK,119
2018-02-25,TYLER-LONGVIEW TX,593
2018-02-25,VICTORIA TX,84
2018-02-25,WACO-TEMPLE-BRYAN TX,183
2018-03-04,ABILENE-SWEETWATER TX,210
2018-03-04,ALEXANDRIA LA,320
2018-03-04,AMARILLO TX,406
2018-03-04,AUSTIN TX,148
2018-03-04,All Other Suddenlink DMA Total,674
2018-03-04,BLUEFIELD-BECKLEY-OAK HILL WV,300
2018-03-04,CHARLESTON-HUNTINGTON WV,576
2018-03-04,DALLAS-FT WORTH TX,454
2018-03-04,EUREKA CA,76
2018-03-04,GREENVILLE-NEW BERN-WASH NC,371
2018-03-04,HOUSTON TX,443
2018-03-04,JONESBORO AR,130
2018-03-04,LAKE CHARLES LA,322
2018-03-04,LITTLE ROCK AR,286
2018-03-04,LUBBOCK TX,402
2018-03-04,MONROE-EL DORADO LA-AR,144
2018-03-04,"NEW YORK, NY",8986
2018-03-04,ODESSA-MIDLAND TX,274
2018-03-04,OKLAHOMA CITY OK,229
