period_date,mmm_b2c_acq_dma,inbound_call_volume
2018-01-07,"NEW YORK, NY",627
2018-02-28,"NEW YORK, NY",1668
2018-02-24,"NEW YORK, NY",1129
2018-02-18,"NEW YORK, NY",616
2018-03-18,"NEW YORK, NY",680
2018-03-31,"NEW YORK, NY",973
2018-03-22,"NEW YORK, NY",1703
2018-04-10,"NEW YORK, NY",1419
2018-04-05,"NEW YORK, NY",1369
2018-04-03,"NEW YORK, NY",1654
2018-04-12,"NEW YORK, NY",1221
2018-05-23,"NEW YORK, NY",1515
2018-05-29,"NEW YORK, NY",2012
2018-05-22,"NEW YORK, NY",1573
2018-05-17,"NEW YORK, NY",1565
2018-05-13,"NEW YORK, NY",471
2018-05-27,"NEW YORK, NY",529
2018-06-21,"NEW YORK, NY",1371
2018-06-01,"NEW YORK, NY",1755
2018-07-18,"NEW YORK, NY",1558
2018-07-24,"NEW YORK, NY",1962
2018-07-26,"NEW YORK, NY",2007
2018-07-13,"NEW YORK, NY",1227
2018-07-02,"NEW YORK, NY",1933
2018-07-12,"NEW YORK, NY",1385
2018-07-01,"NEW YORK, NY",581
2018-08-20,"NEW YORK, NY",2232
2018-08-03,"NEW YORK, NY",1747
2018-08-27,"NEW YORK, NY",2465
2018-09-29,"NEW YORK, NY",1333
2018-09-08,"NEW YORK, NY",1233
2018-09-06,"NEW YORK, NY",1958
2018-10-28,"NEW YORK, NY",664
2018-10-17,"NEW YORK, NY",1566
2018-10-10,"NEW YORK, NY",1617
2018-10-03,"NEW YORK, NY",2147
2018-11-07,"NEW YORK, NY",1518
2018-11-19,"NEW YORK, NY",1692
2018-11-08,"NEW YORK, NY",1538
2018-11-14,"NEW YORK, NY",1577
2018-11-10,"NEW YORK, NY",981
2018-12-07,"NEW YORK, NY",1664
2018-12-27,"NEW YORK, NY",2180
2018-12-12,"NEW YORK, NY",1569
2018-12-09,"NEW YORK, NY",813
2019-01-25,"NEW YORK, NY",1434
2019-01-04,"NEW YORK, NY",1856
2019-01-10,"NEW YORK, NY",1672
2019-01-15,"NEW YORK, NY",1613
2019-02-19,"NEW YORK, NY",1588
2019-03-03,"NEW YORK, NY",899
2019-03-08,"NEW YORK, NY",1585
2019-03-10,"NEW YORK, NY",670
2019-04-05,"NEW YORK, NY",1441
2019-04-08,"NEW YORK, NY",1691
2019-05-18,"NEW YORK, NY",767
2019-05-25,"NEW YORK, NY",828
2019-06-24,"NEW YORK, NY",1880
2019-06-10,"NEW YORK, NY",1800
2019-06-30,"NEW YORK, NY",752
2019-06-29,"NEW YORK, NY",1121
2019-06-11,"NEW YORK, NY",1629
2019-07-01,"NEW YORK, NY",1824
2019-07-03,"NEW YORK, NY",1794
2019-07-14,"NEW YORK, NY",572
2019-08-27,"NEW YORK, NY",1822
2019-08-02,"NEW YORK, NY",1622
2019-08-14,"NEW YORK, NY",1883
2019-08-23,"NEW YORK, NY",1565
2019-08-24,"NEW YORK, NY",858
2019-09-22,"NEW YORK, NY",692
2019-09-19,"NEW YORK, NY",1560
2019-09-10,"NEW YORK, NY",1738
2019-09-23,"NEW YORK, NY",1975
2019-10-02,"NEW YORK, NY",1473
2019-10-22,"NEW YORK, NY",1314
2019-10-12,"NEW YORK, NY",882
2019-10-04,"NEW YORK, NY",1508
2019-10-29,"NEW YORK, NY",1592
2019-11-27,"NEW YORK, NY",1101
2019-11-08,"NEW YORK, NY",1246
2019-11-18,"NEW YORK, NY",1282
2019-11-16,"NEW YORK, NY",764
2019-12-20,"NEW YORK, NY",1504
2019-12-31,"NEW YORK, NY",1162
2020-01-30,"NEW YORK, NY",1278
2020-01-31,"NEW YORK, NY",1441
2020-02-08,"NEW YORK, NY",739
2020-02-26,"NEW YORK, NY",1710
2020-02-07,"NEW YORK, NY",1039
2020-02-11,"NEW YORK, NY",1190
2020-03-02,"NEW YORK, NY",1667
2020-04-23,"NEW YORK, NY",1119
2020-04-11,"NEW YORK, NY",631
2020-05-08,"NEW YORK, NY",840
2020-05-01,"NEW YORK, NY",984
2020-05-27,"NEW YORK, NY",1201
2020-05-28,"NEW YORK, NY",1029
2020-05-26,"NEW YORK, NY",1190
2020-05-30,"NEW YORK, NY",697
2020-06-25,"NEW YORK, NY",1001
2020-06-17,"NEW YORK, NY",1088
2020-07-12,"NEW YORK, NY",418
2020-07-23,"NEW YORK, NY",1204
2020-07-30,"NEW YORK, NY",1168
2020-07-15,"NEW YORK, NY",1240
