period,dma,source,sales
2016-01-03,"NEW YORK, NY",CABLE STORE,187
2016-01-03,"NEW YORK, NY",CRC,135
2016-01-03,"NEW YORK, NY",FIELD TECH,24
2016-01-03,"NEW YORK, NY",INBOUND,10132
2016-01-03,"NEW YORK, NY",INPERSON,667
2016-01-03,"NEW YORK, NY",OTHER,303
2016-01-03,"NEW YORK, NY",OUTBOUND,410
2016-01-03,"NEW YORK, NY",WEB SITE,230
2016-01-10,"NEW YORK, NY",CABLE STORE,170
2016-01-10,"NEW YORK, NY",CRC,134
2016-01-10,"NEW YORK, NY",FIELD TECH,20
2016-01-10,"NEW YORK, NY",INBOUND,9024
2016-01-10,"NEW YORK, NY",INPERSON,679
2016-01-10,"NEW YORK, NY",OTHER,371
2016-01-10,"NEW YORK, NY",OUTBOUND,367
2016-01-10,"NEW YORK, NY",WEB SITE,197
2016-01-17,"NEW YORK, NY",CABLE STORE,114
2016-01-17,"NEW YORK, NY",CRC,110
2016-01-17,"NEW YORK, NY",FIELD TECH,18
2016-01-17,"NEW YORK, NY",INBOUND,7739
2016-01-17,"NEW YORK, NY",INPERSON,494
2016-01-17,"NEW YORK, NY",OTHER,193
2016-01-17,"NEW YORK, NY",OUTBOUND,314
2016-01-17,"NEW YORK, NY",WEB SITE,183
2016-01-24,"NEW YORK, NY",CABLE STORE,180
2016-01-24,"NEW YORK, NY",CRC,118
2016-01-24,"NEW YORK, NY",FIELD TECH,25
2016-01-24,"NEW YORK, NY",INBOUND,10314
2016-01-24,"NEW YORK, NY",INPERSON,580
2016-01-24,"NEW YORK, NY",OTHER,253
2016-01-24,"NEW YORK, NY",OUTBOUND,417
2016-01-24,"NEW YORK, NY",WEB SITE,209
2016-01-31,"NEW YORK, NY",CRC,25
2016-01-31,"NEW YORK, NY",FIELD TECH,4
2016-01-31,"NEW YORK, NY",INBOUND,1005
2016-01-31,"NEW YORK, NY",INPERSON,10
2016-01-31,"NEW YORK, NY",WEB SITE,39
2016-01-31,"NEW YORK, NY",CABLE STORE,192
2016-01-31,"NEW YORK, NY",CRC,167
2016-01-31,"NEW YORK, NY",FIELD TECH,21
2016-01-31,"NEW YORK, NY",INBOUND,9525
2016-01-31,"NEW YORK, NY",INPERSON,677
2016-01-31,"NEW YORK, NY",IO CONVERTER,1
2016-01-31,"NEW YORK, NY",OTHER,265
2016-01-31,"NEW YORK, NY",OUTBOUND,470
2016-01-31,"NEW YORK, NY",WEB SITE,153
2016-02-07,"NEW YORK, NY",CABLE STORE,218
2016-02-07,"NEW YORK, NY",CRC,135
2016-02-07,"NEW YORK, NY",FIELD TECH,20
2016-02-07,"NEW YORK, NY",INBOUND,10234
2016-02-07,"NEW YORK, NY",INPERSON,593
2016-02-07,"NEW YORK, NY",OTHER,211
2016-02-07,"NEW YORK, NY",OUTBOUND,457
2016-02-07,"NEW YORK, NY",WEB SITE,107
2016-02-14,"NEW YORK, NY",CABLE STORE,210
2016-02-14,"NEW YORK, NY",CRC,149
2016-02-14,"NEW YORK, NY",FIELD TECH,38
2016-02-14,"NEW YORK, NY",INBOUND,9541
2016-02-14,"NEW YORK, NY",INPERSON,589
2016-02-14,"NEW YORK, NY",OTHER,154
2016-02-14,"NEW YORK, NY",OUTBOUND,405
2016-02-14,"NEW YORK, NY",WEB SITE,155
2016-02-21,"NEW YORK, NY",CABLE STORE,231
2016-02-21,"NEW YORK, NY",CRC,155
2016-02-21,"NEW YORK, NY",FIELD TECH,29
2016-02-21,"NEW YORK, NY",INBOUND,10806
2016-02-21,"NEW YORK, NY",INPERSON,613
2016-02-21,"NEW YORK, NY",OTHER,221
2016-02-21,"NEW YORK, NY",OUTBOUND,427
2016-02-21,"NEW YORK, NY",WEB SITE,203
2016-02-28,"NEW YORK, NY",CABLE STORE,43
2016-02-28,"NEW YORK, NY",CRC,75
2016-02-28,"NEW YORK, NY",FIELD TECH,8
2016-02-28,"NEW YORK, NY",INBOUND,3250
2016-02-28,"NEW YORK, NY",INPERSON,97
2016-02-28,"NEW YORK, NY",OTHER,64
2016-02-28,"NEW YORK, NY",OUTBOUND,102
2016-02-28,"NEW YORK, NY",WEB SITE,44
2016-02-28,"NEW YORK, NY",CABLE STORE,184
2016-02-28,"NEW YORK, NY",CRC,113
2016-02-28,"NEW YORK, NY",FIELD TECH,23
2016-02-28,"NEW YORK, NY",INBOUND,8448
2016-02-28,"NEW YORK, NY",INPERSON,577
2016-02-28,"NEW YORK, NY",OTHER,182
2016-02-28,"NEW YORK, NY",OUTBOUND,331
2016-02-28,"NEW YORK, NY",WEB SITE,89
2016-03-06,"NEW YORK, NY",CABLE STORE,219
2016-03-06,"NEW YORK, NY",CRC,132
2016-03-06,"NEW YORK, NY",FIELD TECH,23
2016-03-06,"NEW YORK, NY",INBOUND,9689
2016-03-06,"NEW YORK, NY",INPERSON,736
2016-03-06,"NEW YORK, NY",OTHER,259
2016-03-06,"NEW YORK, NY",OUTBOUND,389
2016-03-06,"NEW YORK, NY",WEB SITE,139
2016-03-13,"NEW YORK, NY",CABLE STORE,204
2016-03-13,"NEW YORK, NY",CRC,111
2016-03-13,"NEW YORK, NY",FIELD TECH,25
2016-03-13,"NEW YORK, NY",INBOUND,9346
2016-03-13,"NEW YORK, NY",INPERSON,789
2016-03-13,"NEW YORK, NY",OTHER,153
2016-03-13,"NEW YORK, NY",OUTBOUND,371
2016-03-13,"NEW YORK, NY",WEB SITE,128
2016-03-20,"NEW YORK, NY",CABLE STORE,199
2016-03-20,"NEW YORK, NY",CRC,107
2016-03-20,"NEW YORK, NY",FIELD TECH,19
2016-03-20,"NEW YORK, NY",INBOUND,8796
2016-03-20,"NEW YORK, NY",INPERSON,705
2016-03-20,"NEW YORK, NY",OTHER,246
2016-03-20,"NEW YORK, NY",OUTBOUND,307
2016-03-20,"NEW YORK, NY",WEB SITE,227
2016-03-27,"NEW YORK, NY",CABLE STORE,133
2016-03-27,"NEW YORK, NY",CRC,92
2016-03-27,"NEW YORK, NY",FIELD TECH,27
2016-03-27,"NEW YORK, NY",INBOUND,8098
2016-03-27,"NEW YORK, NY",INPERSON,432
2016-03-27,"NEW YORK, NY",OTHER,383
2016-03-27,"NEW YORK, NY",OUTBOUND,204
2016-03-27,"NEW YORK, NY",WEB SITE,252
2016-03-27,"NEW YORK, NY",CABLE STORE,85
2016-03-27,"NEW YORK, NY",CRC,34
2016-03-27,"NEW YORK, NY",FIELD TECH,11
2016-03-27,"NEW YORK, NY",INBOUND,3018
2016-03-27,"NEW YORK, NY",INPERSON,158
2016-03-27,"NEW YORK, NY",OTHER,32
2016-03-27,"NEW YORK, NY",OUTBOUND,77
2016-03-27,"NEW YORK, NY",WEB SITE,72
2016-04-03,"NEW YORK, NY",CABLE STORE,223
2016-04-03,"NEW YORK, NY",CRC,134
2016-04-03,"NEW YORK, NY",FIELD TECH,38
2016-04-03,"NEW YORK, NY",INBOUND,9655
2016-04-03,"NEW YORK, NY",INPERSON,638
2016-04-03,"NEW YORK, NY",OTHER,315
2016-04-03,"NEW YORK, NY",OUTBOUND,287
2016-04-03,"NEW YORK, NY",WEB SITE,306
2016-04-10,"NEW YORK, NY",CABLE STORE,206
2016-04-10,"NEW YORK, NY",CRC,109
2016-04-10,"NEW YORK, NY",FIELD TECH,21
2016-04-10,"NEW YORK, NY",INBOUND,9057
2016-04-10,"NEW YORK, NY",INPERSON,744
2016-04-10,"NEW YORK, NY",OTHER,261
2016-04-10,"NEW YORK, NY",OUTBOUND,357
2016-04-10,"NEW YORK, NY",WEB SITE,307
2016-04-17,"NEW YORK, NY",CABLE STORE,214
2016-04-17,"NEW YORK, NY",CRC,86
2016-04-17,"NEW YORK, NY",FIELD TECH,20
2016-04-17,"NEW YORK, NY",INBOUND,9228
2016-04-17,"NEW YORK, NY",INPERSON,747
2016-04-17,"NEW YORK, NY",OTHER,227
2016-04-17,"NEW YORK, NY",OUTBOUND,342
2016-04-17,"NEW YORK, NY",WEB SITE,267
2016-04-24,"NEW YORK, NY",CABLE STORE,223
2016-04-24,"NEW YORK, NY",CRC,135
2016-04-24,"NEW YORK, NY",FIELD TECH,27
2016-04-24,"NEW YORK, NY",INBOUND,11613
2016-04-24,"NEW YORK, NY",INPERSON,607
2016-04-24,"NEW YORK, NY",OTHER,269
2016-04-24,"NEW YORK, NY",OUTBOUND,290
2016-04-24,"NEW YORK, NY",WEB SITE,357
2016-05-01,"NEW YORK, NY",CABLE STORE,249
2016-05-01,"NEW YORK, NY",CRC,137
2016-05-01,"NEW YORK, NY",FIELD TECH,32
2016-05-01,"NEW YORK, NY",INBOUND,11399
2016-05-01,"NEW YORK, NY",INPERSON,721
2016-05-01,"NEW YORK, NY",OTHER,226
2016-05-01,"NEW YORK, NY",OUTBOUND,370
2016-05-01,"NEW YORK, NY",WEB SITE,348
2016-05-08,"NEW YORK, NY",CABLE STORE,236
2016-05-08,"NEW YORK, NY",CRC,120
2016-05-08,"NEW YORK, NY",FIELD TECH,32
2016-05-08,"NEW YORK, NY",INBOUND,10423
2016-05-08,"NEW YORK, NY",INPERSON,796
2016-05-08,"NEW YORK, NY",OTHER,221
2016-05-08,"NEW YORK, NY",OUTBOUND,292
2016-05-08,"NEW YORK, NY",WEB SITE,321
2016-05-15,"NEW YORK, NY",CABLE STORE,281
2016-05-15,"NEW YORK, NY",CRC,161
2016-05-15,"NEW YORK, NY",FIELD TECH,18
2016-05-15,"NEW YORK, NY",INBOUND,10966
2016-05-15,"NEW YORK, NY",INPERSON,748
2016-05-15,"NEW YORK, NY",OTHER,226
2016-05-15,"NEW YORK, NY",OUTBOUND,275
2016-05-15,"NEW YORK, NY",WEB SITE,406
2016-05-22,"NEW YORK, NY",CABLE STORE,362
2016-05-22,"NEW YORK, NY",CRC,128
2016-05-22,"NEW YORK, NY",FIELD TECH,31
2016-05-22,"NEW YORK, NY",INBOUND,11644
2016-05-22,"NEW YORK, NY",INPERSON,672
2016-05-22,"NEW YORK, NY",OTHER,259
2016-05-22,"NEW YORK, NY",OUTBOUND,335
2016-05-22,"NEW YORK, NY",WEB SITE,439
2016-05-29,"NEW YORK, NY",CABLE STORE,62
2016-05-29,"NEW YORK, NY",CRC,66
2016-05-29,"NEW YORK, NY",FIELD TECH,5
2016-05-29,"NEW YORK, NY",INBOUND,4531
2016-05-29,"NEW YORK, NY",INPERSON,104
2016-05-29,"NEW YORK, NY",OTHER,53
2016-05-29,"NEW YORK, NY",OUTBOUND,62
2016-05-29,"NEW YORK, NY",WEB SITE,204
2016-05-29,"NEW YORK, NY",CABLE STORE,194
2016-05-29,"NEW YORK, NY",CRC,93
2016-05-29,"NEW YORK, NY",FIELD TECH,20
2016-05-29,"NEW YORK, NY",INBOUND,7337
2016-05-29,"NEW YORK, NY",INPERSON,444
2016-05-29,"NEW YORK, NY",OTHER,167
2016-05-29,"NEW YORK, NY",OUTBOUND,195
2016-05-29,"NEW YORK, NY",WEB SITE,249
2016-06-05,"NEW YORK, NY",CABLE STORE,221
2016-06-05,"NEW YORK, NY",CRC,127
2016-06-05,"NEW YORK, NY",FIELD TECH,47
2016-06-05,"NEW YORK, NY",INBOUND,10194
2016-06-05,"NEW YORK, NY",INPERSON,732
2016-06-05,"NEW YORK, NY",OTHER,274
2016-06-05,"NEW YORK, NY",OUTBOUND,337
2016-06-05,"NEW YORK, NY",WEB SITE,338
2016-06-12,"NEW YORK, NY",CABLE STORE,191
2016-06-12,"NEW YORK, NY",CRC,137
2016-06-12,"NEW YORK, NY",FIELD TECH,17
2016-06-12,"NEW YORK, NY",INBOUND,9762
2016-06-12,"NEW YORK, NY",INPERSON,705
2016-06-12,"NEW YORK, NY",OTHER,193
2016-06-12,"NEW YORK, NY",OUTBOUND,353
2016-06-12,"NEW YORK, NY",WEB SITE,253
2016-06-19,"NEW YORK, NY",CABLE STORE,202
