period,dma,gross_add_true,gross_add_tot,dm_volume,dm_spend,audio_spend,video_spend,display_spend,paid_search_spend_brand,paid_search_spend_unbranded,paid_search_spend,social_spend,spot_tv_gm_spend,spot_tv_mc_spend,spot_tv_spend,dr_gm_tv_spend,dr_mc_tv_spend,tv_spend,radio_gm_spend,radio_mc_spend,radio_spend,print_spend,radio_land_gm_spend,radio_land_mc_spend,radio_dj_gm_spend,radio_dj_mc_spend,sp_price,dp_price,premier_video_offer,financial_offer,equipment_offer,istart_offer,financial_offer_amount,tot_offer_cnt,winback_offer,competitive_offer,google_altice_search_idx,google_comp_search_idx,google_non_brand_search_idx,competition,hh_cnt,avg_tot_bill_per_hh,avg_video_bill_per_hh,avg_ov_bill_per_hh,avg_ool_bill_per_hh,inflation,big_holiday,end_of_month,q4_tag,yearend_flag,awnd,prcp,snow,snwd,tmax,tmin,wdf2,wdf5,wsf2,wsf5,covid_cum_confirmed_cases,covid_cum_deaths,covid_daily_confirmed_cases,covid_daily_deaths,home_pass,hurricane_search
12/31/2017,ABILENE-SWEETWATER TX,212,285,26044.41877,7079.970151,0,249.33,1187,636.31,1110.56,1746.87,391,0,0,7409,0,0,7409,3156,0,3156,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,294,88.38,36.13,2.17,50.08,2.1,1,1,1,1,8.857142857,0.002146117,0,0,42.53174603,19.66666667,227.1428571,174.2857143,17.57142857,22.71428571,0,0,0,0,84419,0
12/31/2017,ALEXANDRIA LA,124,153,26124.6316,7101.775376,0,161.18,1688.94,922.59,1032.67,1955.26,598,0,0,9535.6,0,0,9535.6,0,0,0,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,172,92.06,40.75,2.94,48.37,2.1,1,1,1,1,5.108928571,0.015813492,0,0,43.50761183,23.08567821,150.8928571,181.25,12.68928571,17.86071429,0,0,0,0,84679,0
12/31/2017,AMARILLO TX,311,420,44641.31641,12135.39033,0,137.92,2774.57,1396.8,918.81,2315.61,915,0,0,7635.25,0,0,7635.25,4521,0,4521,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,435,81.89,31.55,1.99,48.34,2.1,1,1,1,1,9.428571429,3.57E-05,0.001636905,0.004081633,39.60004579,10.79647436,140.952381,165.7142857,17.58571429,21.95714286,0,0,0,0,144698,0
12/31/2017,AUSTIN TX,187,205,24963.07755,6786.016054,0,1802.6,4377.71,766.22,6109,6875.22,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,213,88.98,34.27,3.16,51.56,2.1,1,1,1,1,5.576428571,0.002449931,0.002560449,0.001360544,47.05425824,26.56524725,259,257.7142857,13.24857143,18.11,0,0,0,0,80914,0
12/31/2017,All Other Suddenlink DMA Total,756,1041,98926.15359,26892.29584,0,6150.18,19447.27,3457.71,27690.27,31147.98,5902,0,0,6754,0,0,6754,2406,0,2406,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,560,82.37315789,36.56526316,1.622631579,44.18473684,2.1,1,1,1,1,5.911133143,0.017600559,0.056072995,1.234551621,40.85230401,21.10071323,177.9599825,188.2894764,13.12280896,16.83767831,0,0,0,0,320654,0
12/31/2017,BLUEFIELD-BECKLEY-OAK HILL WV,84,105,26030.53525,7076.196026,0,382.86,1493.06,1001.65,1308.22,2309.87,520,0,0,1831.75,0,0,1831.75,3186,0,3186,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,173,92.47,43.75,3.44,45.28,2.1,1,1,1,1,8.092857143,0.012993108,0.205827068,0.740513784,19.47321429,1.46577381,297.1428571,300.7142857,17.67857143,24.50714286,0,0,0,0,84374,0
12/31/2017,CHARLESTON-HUNTINGTON WV,306,372,64340.53257,17490.46712,0,1761,4982.4,2180.08,4614.37,6794.45,1816,0,0,9489.75,0,0,9489.75,1350,0,1350,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,424,93.5,43.3,3.31,46.89,2.1,1,1,1,1,5.502857143,0.00648908,0.099977872,0.415064399,21.55013334,2.684834228,290.5714286,273.7142857,14.56857143,19.67142857,0,0,0,0,208550,0
12/31/2017,DALLAS-FT WORTH TX,291,332,53620.2984,14576.25588,0,2750.99,11007.98,1710.38,16562.3,18272.68,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,376,95.27,40.48,2.26,52.53,2.1,1,1,1,1,7.737662338,0.00165584,0.001848739,0.001260504,42.4064184,21.40377086,176.6612554,177.2348485,15.48847403,19.98181818,0,0,0,0,173802,0
12/31/2017,EUREKA CA,113,152,17075.92492,4641.95572,0,204.07,777.61,440.42,437.85,878.27,126,0,0,2743.8,0,0,2743.8,2349,0,2349,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,157,79.64,20.93,1.66,57.06,2.1,1,1,1,1,3.45,0.133665022,0,0,60.05357143,46.98214286,169.2857143,156.0714286,11.25,14.62857143,0,0,0,0,55349,0
12/31/2017,GREENVILLE-NEW BERN-WASH NC,237,293,48466.88588,13175.34126,0,835.9,4402.4,1869.29,2651.73,4521.02,1281,0,0,9456.55,0,0,9456.55,7845,0,7845,0,0,0,0,0,39.99,69.99,1,0,1,0,0,2,0,0,0,0,0,1.105263158,281,88.01,33.47,3.37,51.18,2.1,1,1,1,1,9.814285714,0.06518387,0.498244389,1.518576067,33.49285714,13.55436508,241.4285714,190,20.42857143,28.52857143,0,0,0,0,157098,0
