period,dma,source,sales
2016-01-03,ABILENE-SWEETWATER TX,CABLE STORE,58
2016-01-03,ABILENE-SWEETWATER TX,CRC,30
2016-01-03,ABILENE-SWEETWATER TX,FIELD TECH,27
2016-01-03,ABILENE-SWEETWATER TX,INBOUND,196
2016-01-03,ABILENE-SWEETWATER TX,INPERSON,82
2016-01-03,ABILENE-SWEETWATER TX,OTHER,63
2016-01-03,ABILENE-SWEETWATER TX,OUTBOUND,4
2016-01-03,ALEXANDRIA LA,CABLE STORE,49
2016-01-03,ALEXANDRIA LA,CRC,44
2016-01-03,ALEXANDRIA LA,FIELD TECH,12
2016-01-03,ALEXANDRIA LA,INBOUND,207
2016-01-03,ALEXANDRIA LA,INPERSON,23
2016-01-03,ALEXANDRIA LA,OTHER,65
2016-01-03,ALEXANDRIA LA,OUTBOUND,19
2016-01-03,AMARILLO TX,CABLE STORE,81
2016-01-03,AMARILLO TX,CRC,59
2016-01-03,AMARILLO TX,FIELD TECH,18
2016-01-03,AMARILLO TX,INBOUND,338
2016-01-03,AMARILLO TX,INPERSON,146
2016-01-03,AMARILLO TX,OTHER,164
2016-01-03,AMARILLO TX,OUTBOUND,9
2016-01-03,AUSTIN TX,CABLE STORE,32
2016-01-03,AUSTIN TX,CRC,9
2016-01-03,AUSTIN TX,FIELD TECH,6
2016-01-03,AUSTIN TX,INBOUND,148
2016-01-03,AUSTIN TX,INPERSON,78
2016-01-03,AUSTIN TX,OTHER,75
2016-01-03,AUSTIN TX,OUTBOUND,3
2016-01-03,All Other Suddenlink DMA Total,CABLE STORE,209
2016-01-03,All Other Suddenlink DMA Total,CRC,83
2016-01-03,All Other Suddenlink DMA Total,FIELD TECH,77
2016-01-03,All Other Suddenlink DMA Total,INBOUND,438
2016-01-03,All Other Suddenlink DMA Total,INPERSON,30
2016-01-03,All Other Suddenlink DMA Total,OTHER,144
2016-01-03,All Other Suddenlink DMA Total,OUTBOUND,31
2016-01-03,BLUEFIELD-BECKLEY-OAK HILL WV,CABLE STORE,49
2016-01-03,BLUEFIELD-BECKLEY-OAK HILL WV,CRC,22
2016-01-03,BLUEFIELD-BECKLEY-OAK HILL WV,FIELD TECH,22
2016-01-03,BLUEFIELD-BECKLEY-OAK HILL WV,INBOUND,206
2016-01-03,BLUEFIELD-BECKLEY-OAK HILL WV,INPERSON,63
2016-01-03,BLUEFIELD-BECKLEY-OAK HILL WV,OTHER,76
2016-01-03,BLUEFIELD-BECKLEY-OAK HILL WV,OUTBOUND,16
2016-01-03,CHARLESTON-HUNTINGTON WV,CABLE STORE,83
2016-01-03,CHARLESTON-HUNTINGTON WV,CRC,40
2016-01-03,CHARLESTON-HUNTINGTON WV,FIELD TECH,33
2016-01-03,CHARLESTON-HUNTINGTON WV,INBOUND,416
2016-01-03,CHARLESTON-HUNTINGTON WV,INPERSON,118
2016-01-03,CHARLESTON-HUNTINGTON WV,OTHER,159
2016-01-03,CHARLESTON-HUNTINGTON WV,OUTBOUND,28
2016-01-03,DALLAS-FT WORTH TX,CABLE STORE,106
2016-01-03,DALLAS-FT WORTH TX,CRC,17
2016-01-03,DALLAS-FT WORTH TX,FIELD TECH,14
2016-01-03,DALLAS-FT WORTH TX,INBOUND,376
2016-01-03,DALLAS-FT WORTH TX,INPERSON,101
2016-01-03,DALLAS-FT WORTH TX,OTHER,157
2016-01-03,DALLAS-FT WORTH TX,OUTBOUND,13
2016-01-03,EUREKA CA,CABLE STORE,31
2016-01-03,EUREKA CA,CRC,24
2016-01-03,EUREKA CA,FIELD TECH,45
2016-01-03,EUREKA CA,INBOUND,112
2016-01-03,EUREKA CA,INPERSON,87
2016-01-03,EUREKA CA,OTHER,68
2016-01-03,EUREKA CA,OUTBOUND,2
2016-01-03,GREENVILLE-NEW BERN-WASH NC,CABLE STORE,71
2016-01-03,GREENVILLE-NEW BERN-WASH NC,CRC,95
2016-01-03,GREENVILLE-NEW BERN-WASH NC,FIELD TECH,20
2016-01-03,GREENVILLE-NEW BERN-WASH NC,INBOUND,262
2016-01-03,GREENVILLE-NEW BERN-WASH NC,INPERSON,91
2016-01-03,GREENVILLE-NEW BERN-WASH NC,OTHER,93
