dma_code,DMA Name,DMA Total HH,Total TV HH,Black TV HH,Hisp TV HH,TV HH w/child <18,Children Age 2-5,Children Age 6-11,Men Age 12-14,Men Age 15-17,Men Age 18-20,Men Age 21-24,Men Age 25-34,Men Age 35-44,Men Age 45-49,Men Age 50-54,Men Age 55-64,Men Age 65+,Women Age 12-14,Women Age 15-17,Women Age 18-20,Women Age 21-24,Women Age 25-34,Women Age 35-44,Women Age 45-49,Women Age 50-54,Women Age 55-64,Women Age 65+,Working Women,W25-49,W25-54,A25-54,A18-49,A25-49,A35-64,A35-54,M21-54,A55+,A25-64,W18-49,dma_name,mmm_b2b_acq_dma,mmm_b2c_acq_dma
662.0,ABILENE-SWEETWATER,121700,117460,6670,24920,33230,15628,23456,6098,6066,6175,8226,18272,17127,7613,7613,17346,24890,5837,5892,6113,8276,18041,17447,7803,7840,18290,29449,0,43291,51131,101756,115093,86303,101079,65443,58851,89975,137392,57680,ABILENE-SWEETWATER,"ABILENE, TX",ABILENE-SWEETWATER TX
525.0,"ALBANY, GA",141900,136260,54300,7990,44250,19154,29421,7784,7796,7464,8860,20958,19959,10060,10305,20659,27154,7457,7485,7335,8978,22643,22581,11149,11413,23599,35713,0,56373,67786,129068,139987,107350,129725,85467,70142,107125,173326,72686,"ALBANY, GA",OTHER,OTHER
532.0,ALBANY-SCHENECTADY-TROY,598800,575080,38980,25150,143150,55183,86806,23034,23926,26383,33414,82558,79943,39162,42942,98142,129774,21875,22939,25895,32586,81590,81946,40677,45119,104704,154571,0,204213,249332,493937,524154,405876,532635,329789,278019,487191,696783,262694,ALBANY-SCHENECTADY-TROY,"NEW YORK, NY","NEW YORK, NY"
790.0,ALBUQUERQUE-SANTA FE,763300,700940,18270,294130,207060,82486,134594,36704,36750,32955,41445,110389,110760,50542,50159,111793,164284,35319,35988,32238,40653,107576,111144,52160,52878,123238,194933,0,270880,323758,645608,689862,542571,662674,427643,363295,594248,880639,343771,ALBUQUERQUE-SANTA FE,OTHER,OTHER
644.0,"ALEXANDRIA, LA",88900,86050,20980,2960,27830,12507,18357,4681,4588,4543,5764,13840,12851,5963,6002,12618,16399,4492,4415,4363,5420,14194,13888,6284,6457,13998,20863,0,34366,40823,79479,87110,67020,78061,51445,44420,63878,106095,44149,"ALEXANDRIA, LA","ALEXANDRIA, LA",ALEXANDRIA LA
583.0,ALPENA,17600,17020,100,300,3420,1344,2109,561,593,609,729,1856,1895,948,1071,3275,5133,538,572,575,684,1695,1802,992,1123,3419,5546,0,4489,5612,11382,11785,9188,14525,7831,6499,17373,18076,5748,ALPENA,OTHER,OTHER
634.0,AMARILLO,199000,190140,9260,59310,60910,29035,44593,11653,11380,11051,13875,33378,31988,14171,13478,27915,37117,11181,10989,10617,12935,31905,31332,14064,13476,28847,43518,0,77301,90777,183792,205316,156838,175271,118509,106890,137397,240554,100853,AMARILLO,"AMARILLO, TX",AMARILLO TX
743.0,ANCHORAGE,172100,160510,8280,10500,51200,23192,35537,9305,8867,8143,10335,31666,29082,12594,12393,26911,30024,8742,8324,7555,9478,29438,28770,12451,12362,26689,31839,0,70659,83021,168756,179512,144001,161252,107652,96070,115463,222356,87692,ANCHORAGE,OTHER,OTHER
524.0,ATLANTA,2730500,2659160,868570,208680,880200,354402,556239,148146,152687,150929,185521,461987,450427,228751,231816,426131,461101,143088,149622,150330,187764,489115,495674,253593,252765,469637,585780,0,1238382,1491147,2864128,3054091,2379547,2808794,1913026,1558502,1942649,3759896,1576476,ATLANTA,OTHER,OTHER
520.0,AUGUSTA-AIKEN,283700,271310,100870,11610,83140,34076,52717,13881,13990,13533,16461,42762,39941,18905,19422,42084,56099,13362,13600,13270,16273,44990,44210,20988,21795,48318,70955,0,110188,131983,253013,271333,211796,255663,165261,137491,217456,343415,139731,AUGUSTA-AIKEN,OTHER,OTHER
