dma,non_sub,homespassed
ABILENE-SWEETWATER TX,40572,84348
ALEXANDRIA LA,46191,88695
AMARILLO TX,81619,147244
AUSTIN TX,52341,114414
All Other Suddenlink DMA Total,205328,325846
BLUEFIELD-BECKLEY-OAK HILL WV,47011,106184
CHARLESTON-HUNTINGTON WV,109360,229990
DALLAS-FT WORTH TX,152270,241833
EUREKA CA,18101,57613
GREENVILLE-NEW BERN-WASH NC,62589,153761
HOUSTON TX,96482,195991
JONESBORO AR,19489,52038
LAKE CHARLES LA,44559,85129
LITTLE ROCK AR,66743,132595
LUBBOCK TX,88859,156047
MONROE-EL DORADO LA-AR,34918,59669
"NEW YORK, NY",2198838,5122886
ODESSA-MIDLAND TX,57852,95203
OKLAHOMA CITY OK,70013,119883
PARKERSBURG WV,31426,70679
PHOENIX AZ,94273,197664
RALEIGH-DURHAM NC,28668,55221
SAN ANGELO TX,25611,61291
SHREVEPORT LA,55254,104310
SPRINGFIELD MO,44194,95479
ST JOSEPH MO,19436,43308
TULSA OK,23138,39698
TYLER-LONGVIEW TX,83901,189484
VICTORIA TX,13115,34818
WACO-TEMPLE-BRYAN TX,48978,125438
