period,mmm_b2c_acq_dma,unique_pageviews,users
2020-09-13,"NEW YORK, NY",17724.0,16060.0
2020-09-20,"NEW YORK, NY",31652.0,28572.0
2020-09-27,"NEW YORK, NY",31164.0,28002.0
2020-10-04,ABILENE-SWEETWATER TX,292.0,265.0
2020-10-04,ALEXANDRIA LA,206.0,195.0
2020-10-04,AMARILLO TX,415.0,377.0
2020-10-04,AUSTIN TX,692.0,602.0
2020-10-04,All Other Suddenlink DMA Total,1208.0,1097.0
2020-10-04,BLUEFIELD-BECKLEY-OAK HILL WV,384.0,342.0
2020-10-04,CHARLESTON-HUNTINGTON WV,689.0,633.0
2020-10-04,DALLAS-FT WORTH TX,1176.0,1073.0
2020-10-04,EUREKA CA,179.0,171.0
2020-10-04,GREENVILLE-NEW BERN-WASH NC,661.0,610.0
2020-10-04,HOUSTON TX,918.0,829.0
2020-10-04,JONESBORO AR,200.0,181.0
2020-10-04,LAKE CHARLES LA,88.0,85.0
2020-10-04,LITTLE ROCK AR,651.0,594.0
2020-10-04,LUBBOCK TX,450.0,411.0
2020-10-04,MONROE-EL DORADO LA-AR,198.0,184.0
2020-10-04,"NEW YORK, NY",28411.0,25732.0
2020-10-04,ODESSA-MIDLAND TX,312.0,285.0
2020-10-04,OKLAHOMA CITY OK,362.0,329.0
2020-10-04,PARKERSBURG WV,216.0,195.0
2020-10-04,PHOENIX AZ,682.0,625.0
2020-10-04,RALEIGH-DURHAM NC,219.0,199.0
2020-10-04,SAN ANGELO TX,202.0,181.0
2020-10-04,SHREVEPORT LA,377.0,339.0
2020-10-04,SPRINGFIELD MO,431.0,390.0
2020-10-04,ST JOSEPH MO,108.0,102.0
2020-10-04,TULSA OK,146.0,134.0
2020-10-04,TYLER-LONGVIEW TX,893.0,798.0
2020-10-04,VICTORIA TX,121.0,107.0
2020-10-04,WACO-TEMPLE-BRYAN TX,379.0,351.0
2020-10-11,ABILENE-SWEETWATER TX,544.0,497.0
2020-10-11,ALEXANDRIA LA,617.0,554.0
2020-10-11,AMARILLO TX,781.0,693.0
2020-10-11,AUSTIN TX,1373.0,1209.0
2020-10-11,All Other Suddenlink DMA Total,2638.0,2390.0
2020-10-11,BLUEFIELD-BECKLEY-OAK HILL WV,751.0,674.0
2020-10-11,CHARLESTON-HUNTINGTON WV,1441.0,1302.0
2020-10-11,DALLAS-FT WORTH TX,2454.0,2214.0
2020-10-11,EUREKA CA,394.0,347.0
2020-10-11,GREENVILLE-NEW BERN-WASH NC,1224.0,1137.0
2020-10-11,HOUSTON TX,1868.0,1685.0
2020-10-11,JONESBORO AR,318.0,288.0
2020-10-11,LAKE CHARLES LA,666.0,619.0
2020-10-11,LITTLE ROCK AR,1245.0,1132.0
2020-10-11,LUBBOCK TX,816.0,739.0
2020-10-11,MONROE-EL DORADO LA-AR,309.0,269.0
2020-10-11,"NEW YORK, NY",29224.0,26550.0
2020-10-11,ODESSA-MIDLAND TX,532.0,486.0
2020-10-11,OKLAHOMA CITY OK,674.0,623.0
2020-10-11,PARKERSBURG WV,509.0,455.0
2020-10-11,PHOENIX AZ,1485.0,1308.0
2020-10-11,RALEIGH-DURHAM NC,421.0,387.0
2020-10-11,SAN ANGELO TX,362.0,331.0
2020-10-11,SHREVEPORT LA,747.0,684.0
2020-10-11,SPRINGFIELD MO,970.0,864.0
2020-10-11,ST JOSEPH MO,243.0,219.0
2020-10-11,TULSA OK,280.0,251.0
2020-10-11,TYLER-LONGVIEW TX,1778.0,1605.0
2020-10-11,VICTORIA TX,243.0,218.0
2020-10-11,WACO-TEMPLE-BRYAN TX,801.0,727.0
2020-10-18,ABILENE-SWEETWATER TX,593.0,532.0
2020-10-18,ALEXANDRIA LA,535.0,481.0
2020-10-18,AMARILLO TX,685.0,609.0
2020-10-18,AUSTIN TX,1307.0,1178.0
2020-10-18,All Other Suddenlink DMA Total,2728.0,2437.0
2020-10-18,BLUEFIELD-BECKLEY-OAK HILL WV,689.0,625.0
2020-10-18,CHARLESTON-HUNTINGTON WV,1417.0,1299.0
2020-10-18,DALLAS-FT WORTH TX,2448.0,2187.0
2020-10-18,EUREKA CA,347.0,314.0
2020-10-18,GREENVILLE-NEW BERN-WASH NC,1334.0,1199.0
2020-10-18,HOUSTON TX,1936.0,1750.0
2020-10-18,JONESBORO AR,314.0,295.0
2020-10-18,LAKE CHARLES LA,770.0,694.0
2020-10-18,LITTLE ROCK AR,1228.0,1096.0
2020-10-18,LUBBOCK TX,906.0,823.0
2020-10-18,MONROE-EL DORADO LA-AR,354.0,314.0
2020-10-18,"NEW YORK, NY",27727.0,25067.0
2020-10-18,ODESSA-MIDLAND TX,586.0,519.0
2020-10-18,OKLAHOMA CITY OK,728.0,656.0
2020-10-18,PARKERSBURG WV,498.0,447.0
2020-10-18,PHOENIX AZ,1533.0,1339.0
2020-10-18,RALEIGH-DURHAM NC,420.0,382.0
2020-10-18,SAN ANGELO TX,371.0,347.0
2020-10-18,SHREVEPORT LA,786.0,696.0
2020-10-18,SPRINGFIELD MO,895.0,803.0
2020-10-18,ST JOSEPH MO,262.0,233.0
2020-10-18,TULSA OK,313.0,277.0
2020-10-18,TYLER-LONGVIEW TX,1798.0,1620.0
