"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,1,0.244,1,1,1,1,1,1,1
1,1,0.075,1,1,1,1,1,1,1
1,1,0.054,1,1,1,1,1,1,1
1,1,0.188,1,1,1,1,1,1,1
1,1,0.134,1,1,1,1,1,1,1
1,1,0.12,1,1,1,1,1,1,1
1,1,0.078,1,1,1,1,1,1,1
1,1,0.114,1,1,1,1,1,1,1
1,1,0.069,1,1,1,1,1,1,1
1,1,0.25,1,1,1,1,1,1,1
1,1,0.091,1,1,1,1,1,1,1
1,1,0.245,1,1,1,1,1,1,1
1,1,0.061,1,1,1,1,1,1,1
1,1,0.137,1,1,1,1,1,1,1
1,1,0.387,1,1,1,1,1,1,1
1,1,0.134,1,1,1,1,1,1,1
1,1,0.058,1,1,1,1,1,1,1
1,1,0.137,1,1,1,1,1,1,1
1,1,0.103,1,1,1,1,1,1,1
1,1,0.074,1,1,1,1,1,1,1
1,1,0.148,1,1,1,1,1,1,1
1,1,0.119,1,1,1,1,1,1,1
1,1,0.421,1,1,1,1,1,1,1
1,1,0.349,1,1,1,1,1,1,1
1,1,0.167,1,1,1,1,1,1,1
1,1,0.198,1,1,1,1,1,1,1
1,1,0.077,1,1,1,1,1,1,1
1,1,0.15,1,1,1,1,1,1,1
1,1,0.145,1,1,1,1,1,1,1
1,1,0.392,1,1,1,1,1,1,1
